name,owner_login,owner_type,language,stargazers_count,forks_count,open_issues_count,size_kb,license_name,has_wiki,is_fork,archived,created_at
learn-claude-code,shareAI-lab,Organization,Python,76374,12287,38,6035,MIT,True,False,False,2025-06-29T15:34:15Z
unsloth,unslothai,Organization,Python,75905,6902,1360,326411,Apache-2.0,False,False,False,2023-11-29T16:50:09Z
awesome-claude-skills,ComposioHQ,Organization,Python,74713,8623,1433,3679,,True,False,False,2025-10-17T07:15:01Z
superset,apache,Organization,Python,74689,18236,591,1132012,Apache-2.0,True,False,False,2015-07-21T18:55:34Z
LlamaFactory,hiyouga,User,Python,74662,9145,1147,14002,Apache-2.0,False,False,False,2023-05-28T10:09:12Z
awesome-machine-learning,josephmisiti,User,Python,74284,15641,34,2782,NOASSERTION,False,False,False,2014-07-15T19:11:19Z
flask,pallets,Organization,Python,73580,16979,4,12311,BSD-3-Clause,False,False,False,2010-04-06T11:11:59Z
30-Days-Of-Python,Asabeneh,User,Python,73184,13396,206,31468,,True,False,False,2019-11-19T17:24:16Z
OpenBB,OpenBB-finance,Organization,Python,72813,7526,117,2424682,NOASSERTION,False,False,False,2020-12-20T10:46:38Z
MiroFish,666ghj,User,Python,72061,11178,123,16732,AGPL-3.0,True,False,False,2025-11-26T04:23:02Z
gpt_academic,binary-husky,User,Python,71310,8316,330,72756,GPL-3.0,True,False,False,2023-03-20T09:05:13Z
headroom,headroomlabs-ai,Organization,Python,70876,5435,685,78463,Apache-2.0,True,False,False,2026-01-07T19:58:51Z
ansible,ansible,Organization,Python,70621,24336,836,266037,GPL-3.0,False,False,False,2012-03-06T14:58:02Z
MetaGPT,FoundationAgents,Organization,Python,70277,8938,133,184037,MIT,True,False,False,2023-06-30T09:04:55Z
annotated_deep_learning_paper_implementations,labmlai,Organization,Python,67402,6756,32,156370,MIT,True,False,False,2020-08-25T02:29:34Z
scikit-learn,scikit-learn,Organization,Python,67220,27377,2149,187029,BSD-3-Clause,True,False,False,2010-08-17T09:43:38Z
gpt4free,xtekky,User,Python,66667,13510,2,203774,GPL-3.0,True,False,False,2023-03-29T17:00:43Z
docling,docling-project,Organization,Python,66188,4758,895,348315,MIT,False,False,False,2024-07-09T07:50:26Z
localstack,localstack,Organization,Python,65121,4792,0,57561,NOASSERTION,False,False,True,2016-10-25T23:48:03Z
mem0,mem0ai,Organization,Python,64960,7608,739,63967,Apache-2.0,False,False,False,2023-06-20T08:58:36Z
daily_stock_analysis,ZhuLinsen,User,Python,64819,54321,53,109209,MIT,False,False,False,2026-01-10T06:43:20Z
MediaCrawler,NanmiCoder,User,Python,64664,12550,202,29819,NOASSERTION,True,False,False,2023-06-09T12:14:34Z
keras,keras-team,Organization,Python,64319,19786,207,55867,Apache-2.0,True,False,False,2015-03-28T00:35:42Z
scrapy,scrapy,Organization,Python,64255,11944,401,32368,BSD-3-Clause,True,False,False,2010-02-22T02:01:14Z
openpilot,commaai,Organization,Python,63611,11352,150,4922139,MIT,True,False,False,2016-11-24T01:33:30Z
ai-hedge-fund,virattt,User,Python,63300,11120,163,3931,MIT,True,False,False,2024-11-29T16:30:01Z
nanoGPT,karpathy,User,Python,62923,10824,349,981,MIT,True,False,False,2022-12-28T00:51:12Z
pathway,pathwaycom,Organization,Python,62317,1685,35,146097,NOASSERTION,False,False,False,2022-11-27T13:01:14Z
TrendRadar,sansan0,User,Python,62136,24886,59,32478,GPL-3.0,False,False,False,2025-04-28T11:42:16Z
GPT-SoVITS,RVC-Boss,User,Python,61650,6649,893,14573,MIT,True,False,False,2024-01-14T18:05:21Z
last30days-skill,mvanhorn,User,Python,61641,5371,159,50884,MIT,False,False,False,2026-01-23T20:37:37Z
ultralytics,ultralytics,Organization,Python,61427,11735,76,64919,AGPL-3.0,True,False,False,2022-09-11T16:39:45Z
strix,usestrix,Organization,Python,61411,6720,360,13510,Apache-2.0,True,False,False,2025-08-05T21:28:30Z
chinese-independent-developer,1c7,User,Python,61326,5369,1,6735,,False,False,False,2017-09-21T11:08:23Z
autogen,microsoft,Organization,Python,60889,9200,1063,148692,CC-BY-4.0,False,False,False,2023-08-18T11:43:45Z
Real-Time-Voice-Cloning,CorentinJ,User,Python,60127,9388,177,369730,NOASSERTION,True,False,False,2019-05-26T08:56:15Z
minimind,jingyaogong,User,Python,60081,7783,64,39424,Apache-2.0,True,False,False,2024-07-27T04:34:12Z
llama,meta-llama,Organization,Python,59599,9776,531,1150,NOASSERTION,False,False,False,2023-02-14T09:29:12Z
mempalace,MemPalace,Organization,Python,58955,7554,774,26745,MIT,False,False,False,2026-04-05T01:12:07Z
litellm,BerriAI,Organization,Python,58334,11290,4987,1644491,NOASSERTION,True,False,False,2023-07-27T00:09:52Z
crewAI,crewAIInc,Organization,Python,58267,8386,752,295342,MIT,False,False,False,2023-10-27T03:26:59Z
OpenManus,FoundationAgents,Organization,Python,58265,10110,462,4572,MIT,True,False,False,2025-03-06T14:08:14Z
yolov5,ultralytics,Organization,Python,57986,17465,30,18129,AGPL-3.0,True,False,False,2020-05-18T03:45:11Z
nanochat,karpathy,User,Python,57883,8080,119,2520,MIT,False,False,False,2025-10-13T13:46:35Z
faceswap,deepfakes,User,Python,57539,13476,15,205378,GPL-3.0,False,False,False,2017-12-19T09:44:13Z
private-gpt,zylon-ai,Organization,Python,57500,7613,5,225877,Apache-2.0,False,False,False,2023-05-02T09:15:31Z
rich,Textualize,Organization,Python,57344,2331,374,50632,MIT,True,False,False,2019-11-10T15:28:09Z
you-get,soimort,User,Python,56879,9698,386,3566,NOASSERTION,True,False,False,2012-08-20T15:53:36Z
OpenMontage,calesthio,User,Python,56744,7146,317,76452,AGPL-3.0,True,False,False,2026-03-29T15:23:22Z
face_recognition,ageitgey,User,Python,56723,13693,832,103973,MIT,True,False,False,2017-03-03T21:52:39Z
n8n-workflows,Zie619,User,Python,56563,7608,41,52547,MIT,True,False,False,2025-05-14T08:43:59Z
gpt-engineer,AntonOsika,User,Python,55101,7290,70,20474,MIT,False,False,True,2023-04-29T12:52:15Z
requests,psf,Organization,Python,54291,10132,237,13629,Apache-2.0,True,False,False,2011-02-13T18:38:17Z
odoo,odoo,Organization,Python,54237,33654,10325,17709395,NOASSERTION,True,False,False,2014-05-13T15:38:58Z
freqtrade,freqtrade,Organization,Python,54181,11237,29,775340,GPL-3.0,True,False,False,2017-05-17T23:48:53Z
free-claude-code,Alishahryar1,User,Python,54085,8669,379,11501,MIT,True,False,False,2026-01-28T19:02:30Z
VibeVoice,microsoft,Organization,Python,54036,6095,189,217150,MIT,True,False,False,2025-08-25T13:24:01Z
awesome-claude-code,hesreallyhim,User,Python,53731,4683,1010,35471,NOASSERTION,False,False,False,2025-04-19T20:55:59Z
ai-engineering-from-scratch,rohitg00,User,Python,53267,9334,105,42365,MIT,True,False,False,2026-03-18T18:38:02Z
ppt-master,hugohe3,User,Python,53182,4249,3,134528,MIT,True,False,False,2025-12-10T06:54:33Z
Fooocus,lllyasviel,User,Python,52943,8601,314,34158,GPL-3.0,False,False,False,2023-08-09T18:43:40Z
BMAD-METHOD,bmad-code-org,Organization,Python,52807,5980,31,52266,NOASSERTION,True,False,False,2025-04-13T14:54:25Z
grok-1,xai-org,Organization,Python,52220,8543,125,1008,Apache-2.0,True,False,False,2024-03-17T08:53:38Z
llama_index,run-llama,Organization,Python,52083,8096,741,496501,MIT,False,False,False,2022-11-02T04:24:54Z
professional-programming,charlax,User,Python,51497,4019,7,4769,MIT,True,False,False,2015-11-07T05:07:52Z
supervision,roboflow,Organization,Python,49931,4755,81,4306616,MIT,False,False,False,2022-11-28T14:08:44Z
pandas,pandas-dev,Organization,Python,49705,20358,2730,412077,BSD-3-Clause,False,False,False,2010-08-24T01:37:33Z
CLI-Anything,HKUDS,Organization,Python,49162,4550,88,42356,Apache-2.0,False,False,False,2026-03-08T13:52:57Z
aider,Aider-AI,Organization,Python,48839,4935,1857,140356,Apache-2.0,True,False,False,2023-05-09T18:57:49Z
qlib,microsoft,Organization,Python,48429,7659,473,18392,MIT,True,False,False,2020-08-14T06:46:00Z
nanobot,HKUDS,Organization,Python,47916,8462,774,64772,MIT,False,False,False,2026-02-01T07:16:15Z
big-list-of-naughty-strings,minimaxir,User,Python,47714,2153,108,330,MIT,True,False,False,2015-08-08T20:57:20Z
textgen,oobabooga,User,Python,47636,5982,839,32098,AGPL-3.0,True,False,False,2022-12-21T04:17:37Z
exo,exo-explore,Organization,Python,47317,3502,367,40156,Apache-2.0,False,False,False,2024-06-24T18:36:22Z
Summer2027-Internships,SimplifyJobs,Organization,Python,47239,3244,104,4190864,,False,False,False,2020-05-23T20:53:18Z
Umi-OCR,hiroi-sora,User,Python,47199,4616,359,281373,MIT,True,False,False,2022-03-28T04:01:46Z
academic-research-skills,Imbad0202,User,Python,47133,3689,27,22132,NOASSERTION,False,False,False,2026-02-26T06:31:01Z
CowAgent,zhayujie,User,Python,46849,10346,25,15405,MIT,True,False,False,2022-08-07T08:33:41Z
airflow,apache,Organization,Python,46785,17794,2163,705122,Apache-2.0,False,False,False,2015-04-13T18:04:58Z
copyparty,9001,User,Python,46591,1898,251,9816,MIT,False,False,False,2019-05-26T15:28:33Z
agentic-awesome-skills,sickn33,User,Python,46176,6741,0,139153,MIT,True,False,False,2026-01-14T17:48:09Z
TTS,coqui-ai,Organization,Python,45994,6149,2,170196,MPL-2.0,True,False,False,2020-05-20T15:45:28Z
streamlit,streamlit,Organization,Python,45718,4376,1170,1086195,Apache-2.0,False,False,False,2019-08-24T00:14:52Z
humanizer,blader,User,Python,45592,3750,7,205,MIT,True,False,False,2026-01-18T05:30:15Z
ai-agent-book,bojieli,User,Python,45359,5041,19,793628,Apache-2.0,True,False,False,2025-09-09T02:41:44Z
vnpy,vnpy,User,Python,45289,12456,25,328514,MIT,True,False,False,2015-03-02T03:36:58Z
mitmproxy,mitmproxy,Organization,Python,44969,4721,483,69286,MIT,False,False,False,2010-02-16T04:10:13Z
paperless-ngx,paperless-ngx,Organization,Python,44949,3097,13,218952,GPL-3.0,True,False,False,2022-02-12T21:56:52Z
sentry,getsentry,Organization,Python,44748,4841,2238,923851,NOASSERTION,False,False,False,2010-08-30T22:06:41Z
scientific-agent-skills,K-Dense-AI,Organization,Python,43953,3993,31,249602,MIT,False,False,False,2025-10-19T20:54:15Z
ray,ray-project,Organization,Python,43752,8014,3571,792624,Apache-2.0,False,False,False,2016-10-25T19:38:30Z
gradio,gradio-app,Organization,Python,43494,3591,152,359297,Apache-2.0,True,False,False,2018-12-19T08:24:04Z
DeepSpeed,deepspeedai,Organization,Python,43083,4966,1394,248835,Apache-2.0,False,False,False,2020-01-23T18:35:18Z
python-patterns,faif,User,Python,42971,6989,12,4073,,True,False,False,2012-06-06T21:02:35Z
diagrams,mingrammer,User,Python,42598,2732,390,73631,MIT,False,False,False,2020-02-02T15:23:24Z
ailearning,apachecn,Organization,Python,42517,11508,4,171378,NOASSERTION,False,False,False,2017-02-25T08:53:02Z
BettaFish,666ghj,User,Python,42172,7619,5,192572,GPL-2.0,True,False,False,2024-07-01T13:11:38Z
agno,agno-agi,Organization,Python,42109,5896,1396,317671,Apache-2.0,True,False,False,2022-05-04T15:23:02Z
black,psf,Organization,Python,41837,2865,309,8334,MIT,True,False,False,2018-03-14T19:54:45Z
cheat.sh,chubin,User,Python,41734,1917,149,4717,MIT,True,False,False,2017-05-07T21:40:56Z
ai-job-search,MadsLorentzen,User,Python,41498,14241,5,3983,MIT,False,False,False,2026-03-18T14:33:04Z
ColossalAI,hpcaitech,Organization,Python,41441,4494,505,66583,Apache-2.0,True,False,False,2021-10-28T16:19:44Z
claude-howto,luongnv89,User,Python,41417,5080,30,15236,MIT,True,False,False,2025-11-07T22:59:34Z
langgraph,langchain-ai,Organization,Python,41294,6976,770,526554,MIT,False,False,False,2023-08-09T18:33:12Z
